v	-110	-110	0					
v	110	-110	0					
v	110	110	0					
v	-110	110	0					
v	150	-150	0					
v	-150	-150	0					
v	-150	150	0					
v	150	150	0					
v	0	0	0					
v	0	0	-250					
v	0	0	150					
v	0	0	-100					
v	55	-55	50					
v	-55	55	50					
v	-55	-55	50					
v	55	55	50					
v	0	-10	0					
v	10	0	0					
v	0	10	0					
v	-10	0	0					
v	-1810	-1790	0					
v	-1790	-1810	0					
v	1810	-1790	0					
v	1790	-1810	0					
v	1810	1790	0					
v	1790	1810	0					
v	-1810	1790	0					
v	-1790	1810	0					
v	37	0	180					
v	25	25	180					
v	0	37	180					
v	-25	25	180					
v	-37	0	180					
v	-25	-25	180					
v	0	-37	180					
v	25	-25	180					
v	70	0	-280					
v	50	50	-280					
v	0	70	-280					
v	-50	50	-280					
v	-70	0	-280					
v	-50	-50	-280					
v	0	-70	-280					
v	50	-50	-280					
v	0	0	160					
v	0	0	-260					
l	11	45						
f	29	30	31	32	33	34	35	36
l	45	29						
l	45	30						
l	45	31						
l	45	32						
l	45	33						
l	45	34						
l	45	35						
l	45	36						
l	10	46						
f	37	38	39	40	41	42	43	44
l	46	37						
l	46	38						
l	46	39						
l	46	40						
l	46	41						
l	46	42						
l	46	43						
l	46	44						
v	0	-20	20					
v	20	0	20					
v	0	20	20					
v	-20	0	20					
v	0	-20	-20					
v	20	0	-20					
v	0	20	-20					
v	-20	0	-20					
v	0	0	0					
v	-110	-90	20					
v	-90	-110	20					
v	110	-90	20					
v	90	-110	20					
v	110	90	20					
v	90	110	20					
v	-110	90	20					
v	-90	110	20					
v	-110	-90	-20					
v	-90	-110	-20					
v	110	-90	-20					
v	90	-110	-20					
v	110	90	-20					
v	90	110	-20					
v	-110	90	-20					
v	-90	110	-20					
v	0	0	-10					
v	-7	7	0					
v	-7	7	-250					
v	-7	7	150					
v	-7	7	-100					
v	-7	-7	0					
v	-7	-7	-250					
v	-7	-7	150					
v	-7	-7	-100					
v	10	0	0					
v	10	0	-250					
v	10	0	150					
v	10	0	-100					
v	-7	7	100					
v	-7	-7	100					
v	10	0	100					
v	0	0	1000					
v	10	0	1000					
v	0	10	1000					
v	-10	0	1000					
v	0	-10	1000					
v	20	0	1020					
v	0	20	1020					
v	-20	0	1020					
v	0	-20	1020					
v	10	0	1040					
v	0	10	1040					
v	-10	0	1040					
v	0	-10	1040					
l	11	88						
f	89	90	91	92				
f	93	94	95	96				
f	97	98	99	100				
l	89	93	97					
l	90	94	98					
l	91	95	99					
l	92	96	100					
v	-40	0	1100					
v	-30	0	1100					
v	-20	0	1100					
v	-40	0	1140					
v	-30	0	1140					
v	-20	0	1140					
v	40	0	1100					
v	30	0	1100					
v	20	0	1100					
v	30	0	1140					
v	-10	0	1100					
v	0	0	1100					
v	10	0	1100					
v	-5	0	1140					
v	5	0	1140					
#l	101	102	103					
#l	104	105	106					
#l	102	105						
#l	107	108	109					
#l	108	110						
#l	111	114	112	115	113			
v	155	-145	0					
v	-155	-145	0					
v	-155	145	0					
v	155	145	0					
v	145	-155	0					
v	-145	-155	0					
v	-145	155	0					
v	145	155	0					
#								
f	10	76	73	85	11			
f	10	80	77	86	11			
f	10	84	81	87	11			
f	1	17	72					
f	2	18	72					
f	3	19	72					
f	4	20	72					
f	1	20	72					
f	2	17	72					
f	3	18	72					
f	4	19	72					
f	47	48	49	50				
f	51	52	53	54				
f	55	47	51					
f	55	48	52					
f	55	49	53					
f	55	50	54					
f	56	64	65	57				
l	56	65						
l	64	57						
f	58	66	67	59				
l	58	67						
l	66	59						
f	60	68	69	61				
l	60	69						
l	68	61						
f	62	70	71	63				
l	62	71						
l	70	63						
f	56	57	121					
f	64	65	117					
f	58	59	120					
f	66	67	116					
f	60	61	123					
f	68	69	119					
f	62	63	122					
f	70	71	118					
f	21	22	121	117				
f	23	24	120	116				
f	25	26	123	119				
f	27	28	122	118				
